Order_ID	Order_Date	Customer_ID	Product	Category	Sales	Quantity	Profit	Region
1001	01-01-2023	2052	Tablet	Electronics	22874	1	6384	East
1002	02-01-2023	2093	Camera	Accessories	14081	2	7385	North
1003	03-01-2023	2015	Laptop	Accessories	25063	1	1400	North
1004	04-01-2023	2072	Camera	Electronics	7819	3	6969	West
1005	05-01-2023	2061	Headphones	Electronics	26712	3	9535	North
1006	06-01-2023	2021	Camera	Accessories	25762	4	3197	West
1007	07-01-2023	2083	Laptop	Electronics	12046	1	4716	North
1008	08-01-2023	2087	Headphones	Electronics	32463	2	109	North
1009	09-01-2023	2075	Camera	Electronics	29769	4	5852	South
1010	10-01-2023	2075	Headphones	Accessories	24150	4	9952	West
1011	11-01-2023	2088	Phone	Accessories	3711	4	6395	North
1012	12-01-2023	2024	Phone	Accessories	5853	2	4915	West
1013	13-01-2023	2003	Camera	Accessories	30077	4	1172	South
1014	14-01-2023	2022	Headphones	Accessories	24863	2	3325	South
1015	15-01-2023	2053	Laptop	Electronics	22792	4	1416	West
1016	16-01-2023	2002	Camera	Accessories	41483	2	5799	South
1017	17-01-2023	2088	Phone	Electronics	9942	3	6907	East
1018	18-01-2023	2030	Phone	Electronics	49275	3	6774	East
1019	19-01-2023	2038	Camera	Accessories	49594	3	3783	South
1020	20-01-2023	2002	Headphones	Accessories	2762	3	7327	East
1021	21-01-2023	2064	Phone	Electronics	32987	3	3373	North
1022	22-01-2023	2060	Headphones	Electronics	16850	4	7100	West
1023	23-01-2023	2021	Phone	Electronics	13112	4	245	North
1024	24-01-2023	2033	Phone	Accessories	25058	4	5110	West
1025	25-01-2023	2076	Tablet	Accessories	46420	2	3140	South
1026	26-01-2023	2058	Phone	Accessories	39890	2	9754	North
1027	27-01-2023	2022	Laptop	Accessories	1481	2	9876	South
1028	28-01-2023	2089	Camera	Accessories	48304	2	582	South
1029	29-01-2023	2049	Camera	Electronics	33921	3	3279	West
1030	30-01-2023	2091	Headphones	Accessories	41385	3	1349	West
1031	31-01-2023	2059	Phone	Electronics	2524	3	730	West
